Entity,trait,label,description,comments,trait_type,allowed_values_min,allowed_values_max,units,allowed_values_levels,categorical_trait_description,categorical_trait_synonyms,constraints,trait_groupings,structure_measured,characteristic_measured,keywords,references,reviewers,created,reviewed,deprecated_trait_name,exact_match,close_match,related_match,description_encoded,identifier,categorical_trait_identifier,inScheme
https://w3id.org/APD/traits/trait_0000012,leaf_Al_per_dry_mass,Leaf aluminium (Al) content per unit leaf dry mass,The ratio of the mass of aluminium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,12000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,aluminium atom,,,14/07/2021,,,Leaf aluminium content per leaf dry mass [TOP449] (https://top-thesaurus.org/index); Leaf aluminium (Al) content per leaf dry mass [TRY:249] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of aluminium [CHEBI:28984] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000012,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000014,leaf_B_per_dry_mass,Leaf boron (B) content per unit leaf dry mass,The ratio of the mass of boron in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,1000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,boron atom; micronutrient,,,14/07/2021,,,Leaf boron content per leaf dry mass [TOP450] (https://top-thesaurus.org/index); Leaf boron (B) content per leaf dry mass [TRY:250] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of boron [CHEBI:27560] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000014,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000016,leaf_C_per_dry_mass,Leaf carbon (C) content per unit leaf dry mass,The ratio of the mass of carbon in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,50,750,mg/g,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,carbon atom,,,14/07/2021,,,Leaf carbon content per leaf dry mass [TOP452] (https://top-thesaurus.org/index); Leaf carbon (C) content per leaf dry mass [TRY:13] (https://www.try-db.org/de/de.php); leaf carbon content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata); leaf carbon content (http://purl.obolibrary.org/obo/TO_0003088),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000016,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000018,leaf_Ca_per_dry_mass,Leaf calcium (Ca) content per unit leaf dry mass,The ratio of the mass of calcium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,1000,mg/g,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,calcium atom; micronutrient,,,14/07/2021,,,Leaf calcium content per leaf dry mass [TOP451] (https://top-thesaurus.org/index); Leaf calcium (Ca) content per leaf dry mass [TRY:252] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000018,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000020,leaf_Cl_per_dry_mass,Leaf chlorine (Cl) content per unit leaf dry mass,The ratio of the mass of chlorine in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,10,10000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,chlorine atom,,,14/07/2021,,,Leaf chlorine content per leaf dry mass [TOP453] (https://top-thesaurus.org/index); Leaf chlorine (Cl) content per leaf dry mass [TRY:539] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of chlorine [CHEBI:23116] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000020,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000022,leaf_Cr_per_dry_mass,Leaf chromium (Cr) content per unit leaf dry mass,The ratio of the mass of chromium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,150,ppm,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,chromium atom,,,14/07/2021,,,Leaf chromium (Cr) content per leaf dry mass [TRY:254] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of chromium [CHEBI:28073] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000022,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000024,leaf_Co_per_dry_mass,Leaf cobalt (Co) content per unit leaf dry mass,The ratio of the mass of cobalt in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,150,ppm,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,cobalt atom; micronutrient,,,14/07/2021,,,Leaf cobalt content per leaf dry mass [TOP454] (https://top-thesaurus.org/index); Leaf cobalt (Co) content per leaf dry mass [TRY:253] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of cobalt [CHEBI:27638] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000024,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000026,leaf_Cu_per_dry_mass,Leaf copper (Cu) content per unit leaf dry mass,The ratio of the mass of copper in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.01,150,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,copper atom; micronutrient,,,14/07/2021,,,Leaf copper content per leaf dry mass [TOP455] (https://top-thesaurus.org/index); Leaf copper (Cu) content per leaf dry mass [TRY:255] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of copper [CHEBI:28694] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000026,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000028,leaf_Fe_per_dry_mass,Leaf iron (Fe) content per unit leaf dry mass,The ratio of the mass of iron in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,1,10000,mg/kg,,,,none,live leaf mineral and ion content trait,leaf,mass; mass fraction; ratio; proportion,iron atom; micronutrient,,,14/07/2021,,,Leaf iron content per leaf dry mass [TOP456] (https://top-thesaurus.org/index); Leaf iron (Fe) content per leaf dry mass [TRY:256] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of iron [CHEBI:18248] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,trait_0000028,,https://w3id.org/APD
https://w3id.org/APD/traits/trait_0000029,leaf_K_per_area,Leaf potassium (K) content per unit leaf area,The ratio of the mass of potassium in a leaf to leaf area.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",numeric,0.1,10,g/m2,,,,none,live leaf mineral and ion content trait,leaf,mass; per unit area; ratio; proportion,potassium atom; macronutrient,,,14/07/2021,,,Leaf potassium content per leaf area [TOP483] (https://top-thesaurus.org/index); Leaf potassium (K) content per leaf area [TRY:52] (https://www.try-db.org/de/de.php),,,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a leaf [PO:0025034] to leaf area [PATO:0001323].,trait_0000029,,https://w3id.org/APD
