Entity,label,description,identifier,inScheme,prefix,vocabulary
http://cerrado.linkeddata.es/ecology/ccon/#Recruitment,recruitment,"It's the rate on which new individuals establishes in a certain community either by new born individuals or immigration.[Cerrado link] ; The process by which new individuals are added to a population, whether by birth and maturation or by immigration. [Wikipedia]",Recruitment,http://cerrado.linkeddata.es/ecology/,Cerrado,Cerrado
http://cerrado.linkeddata.es/ecology/fire#PlantMortality,Plant Mortality,The death of plants caused by fire.,PlantMortality,http://cerrado.linkeddata.es/ecology/,Cerrado,Cerrado
http://cerrado.linkeddata.es/ecology/fire#PlantResprout,Plant resprout,"It's when the fire event influence the plant individuals to resprout, that is, the fire can induce the growth of new branches as well the vegetative reproduction of some fire resistant species.",PlantResprout,http://cerrado.linkeddata.es/ecology/,Cerrado,Cerrado
http://linked.data.gov.au/def/corveg-cv/8e1b8694-7bc4-4ce7-90c1-69d68e07a3aa,vegetation stratum,"There is a maximum of seven layers or strata at any one site. There may be one emergent layer [E] dominated by trees or less commonly shrubs [see below]; There may be up to three tree layers [in addition to an emergent layer]: canopy [T1], subcanopy [T2], low tree layer [T3] but is not always present, particularly in low woodlands. There may be two layers that are dominated by shrubs: tallest shrub layer [S1]. This may also include some low trees. If only one shrub layer is present, then it is S1; lower shrub layer [S2] This may be referred to as a sub-shrub layer, often not recognised apart from shrub dominated vegetation such as heathlands. There is one ground layer [G] although it may be absent. This layer may contain graminoids, forbs, sprawling vines and other plants that are short in stature and overlap in height with the grasses.",8e1b8694-7bc4-4ce7-90c1-69d68e07a3aa,http://linked.data.gov.au/def/corveg-cv/,CorVeg,CorVeg
http://dicom.nema.org/resources/ontology/DCM/125315,calculated,"The measurement is calculated by incorporating one or more measured values into an equation other than a ratio, fractional change or indexed calculation.",DCM:125315,http://dicom.nema.org/resources/ontology/DCM/,DCM,DICOM Controlled Terminology
http://edamontology.org/data_3722,physiology parameter,"Experimentally determined parameter of the physiology of an organism, e.g. substrate spectrum.",data_3722,http://edamontology.org/,EDAM,Edam - Bioscientific Analysis Ontology
http://edamontology.org/data_3723,morphology parameter,"Experimentally determined parameter of the morphology of an organism, e.g. size & shape.",data_3723,http://edamontology.org/,EDAM,Edam - Bioscientific Analysis Ontology
http://edamontology.org/topic_3321,molecular genetics,The structure and function of genes at a molecular level.,data_3321,http://edamontology.org/,EDAM,Edam - Bioscientific Analysis Ontology
http://www.ebi.ac.uk/efo/EFO_0000433,duration,A temporal measurement of the time between two specified points.,EFO:0000433,http://www.ebi.ac.uk/efo/,EFO,Experimental Factor Ontology
http://www.ebi.ac.uk/efo/EFO_0000542,individual,"An individual used as a specimen in an experiment, from which a material sample was derived.",EFO:0000542,http://www.ebi.ac.uk/efo/,EFO,Experimental Factor Ontology
http://www.ebi.ac.uk/efo/EFO_0000727,treatment,A planned process intended to modify or alter a condition or characteristic of an organism or individual.,EFO:0000727,http://www.ebi.ac.uk/efo/,EFO,Experimental Factor Ontology
http://www.ebi.ac.uk/efo/EFO_0000997,storage organ,[no definition],EFO:0000997,http://www.ebi.ac.uk/efo/,EFO,Experimental Factor Ontology
http://www.ebi.ac.uk/efo/EFO_0005061,substrate,"A substrate is the surface on which material, such as an organism, is grown or attached.",EFO:0005061,http://www.ebi.ac.uk/efo/,EFO,Experimental Factor Ontology
http://vocabs.lter-europe.net/EnvThes/10107,epiphyte,[no definition],EnvThes:10107,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/10118,vegetation reflectance,[no definition],EnvThes:10118,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/10380,dry matter biomass,[no definition],EnvThes:10380,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20310,stable isotope,"Some isotopes are radioactive, and are therefore described as radioisotopes or radionuclides, while others have never been observed to undergo radioactive decay and are described as stable isotopes or stable nuclides. For example, 14C is a radioactive form of carbon while 12C and 13C are stable isotopes. Elements are composed of one or more naturally occurring isotopes. All the known stable isotopes occur naturally on Earth. Isotope analysis is the determination of isotopic signature, the relative abundances of isotopes of a given element in a particular sample. For biogenic substances in particular, significant variations of isotopes of C, N and O can occur.",EnvThes:20310,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20373,disturbance (event),External event affecting the ecosystem,EnvThes:20373,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20410,seedling establishment,[no definition],EnvThes:20410,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20535,vegetation,"[Henderson's] n. the plant cover of an area, con­sidered generally, and not taxonomically.",EnvThes:20535,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20581,fine root,"Primary roots usually less than 2 mm diameter that have the function of water and nutrient uptake. They are often heavily branched and support mycorrhizas. These roots may be short lived, but are replaced by the plant in an ongoing process of root 'turnover'",EnvThes:20581,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20656,mycorrhizae,"[Henderson's] mycorrhiza n. symbiotic association between plant roots and certain fungi, in which a sheath of fungal tissue (the mantle) encloses the smallest rootlets. There are two main types. In ectomycorrhizas the fungal hyphae penetrate between the cells of the epidermis and cortex. In endomy­corrhizas they penetrate the plant cells themselves and an external fungal sheath is often lacking. Mycorrhizas are essential for optimum growth and development in many trees, shrubs and herbaceous plants.",EnvThes:20656,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20744,woody plants,[no definition],EnvThes:20744,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/20927,dead wood biomass,Dead trees or dead branches or wood on a tree,EnvThes:20927,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/21032,clonal growth,[no definition],EnvThes:21032,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/21034,vegetative growth,[no definition],EnvThes:21034,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/21038,dispersal,"Biological dispersal refers to both the movement of individuals (animals, plants, fungi, bacteria, etc.) from their birth site to their breeding site, as well as the movement from one breeding site to another. Disperal is also used to describe the movement of propagules such as seeds and spores.",EnvThes:21038,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/21042,seed dispersal,[no definition],EnvThes:21042,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
http://vocabs.lter-europe.net/EnvThes/21043,generation time,"[Henderson's] [1] of cells, the time between formation of a somatic cell by mitosis and its own division; [2] of human and animal populations, the average span of time between the birth of parents and the birth of their offspring; [3] of microor­ganisms, time taken for one cell to divide and produce two new cells, often expressed as the time taken for the population to double.",EnvThes:21043,http://vocabs.lter-europe.net/EnvThes/,EnvThes,Environmental Thesaurus
