identifier,trait,label,description_encoded,description,comments,inScheme,type,type_x,min,max,units,units_UCUM,units_uom,category_1,category_2,category_3,category_4,created,modified,deprecated_trait_name,constraints,structure_1,structure_2,structure_3,structure_4,meas_char_1,meas_char_2,meas_char_3,meas_char_4,meas_char_5,meas_char_6,rev_01,rev_02,rev_03,rev_04,rev_05,rev_06,rev_07,rev_08,rev_09,rev_10,ref_1,ref_2,ref_3,ref_4,ref_5,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,exact_other1,close_other1,close_other2,related_other,exact_TOP,close_TOP,related_TOP,related_TOP2,exact_TRY,close_TRY,related_TRY,exact_LEDA,close_LEDA,related_LEDA,exact_GIFT,close_GIFT,related_GIFT,exact_BIEN,close_BIEN,related_BIEN,exact_BROT,close_BROT,related_BROT,PalmTraits_exact,PalmTraits_close,traitID
APD/0000012,leaf_Al_per_dry_mass,Leaf aluminium (Al) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of aluminium [CHEBI:28984] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,12000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28984,,,,,,,,,,,,,,Leaf aluminium content per leaf dry mass [TOP449] (https://top-thesaurus.org/index),,,,Leaf aluminium (Al) content per leaf dry mass [TRY:249] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,12
APD/0000014,leaf_B_per_dry_mass,Leaf boron (B) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of boron [CHEBI:27560] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,1000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27560,CHEBI_27027,,,,,,,,,,,,,Leaf boron content per leaf dry mass [TOP450] (https://top-thesaurus.org/index),,,,Leaf boron (B) content per leaf dry mass [TRY:250] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,14
APD/0000016,leaf_C_per_dry_mass,Leaf carbon (C) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,50,750,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27594,,,,,,,,,,TO_0003088,,,,Leaf carbon content per leaf dry mass [TOP452] (https://top-thesaurus.org/index),,,,Leaf carbon (C) content per leaf dry mass [TRY:13] (https://www.try-db.org/de/de.php),,,,,,,,,leaf carbon content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,,,,,,16
APD/0000018,leaf_Ca_per_dry_mass,Leaf calcium (Ca) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,1000,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_22984,CHEBI_27027,,,,,,,,,,,,,Leaf calcium content per leaf dry mass [TOP451] (https://top-thesaurus.org/index),,,,Leaf calcium (Ca) content per leaf dry mass [TRY:252] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,18
APD/0000020,leaf_Cl_per_dry_mass,Leaf chlorine (Cl) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of chlorine [CHEBI:23116] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,10,10000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_23116,,,,,,,,,,,,,,Leaf chlorine content per leaf dry mass [TOP453] (https://top-thesaurus.org/index),,,,Leaf chlorine (Cl) content per leaf dry mass [TRY:539] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,20
APD/0000022,leaf_Cr_per_dry_mass,Leaf chromium (Cr) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of chromium [CHEBI:28073] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,150,ppm,ppm,parts per million,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28073,,,,,,,,,,,,,,,,,,Leaf chromium (Cr) content per leaf dry mass [TRY:254] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,22
APD/0000024,leaf_Co_per_dry_mass,Leaf cobalt (Co) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of cobalt [CHEBI:27638] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,150,ppm,ppm,parts per million,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_27638,CHEBI_27027,,,,,,,,,,,,,Leaf cobalt content per leaf dry mass [TOP454] (https://top-thesaurus.org/index),,,,Leaf cobalt (Co) content per leaf dry mass [TRY:253] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,24
APD/0000026,leaf_Cu_per_dry_mass,Leaf copper (Cu) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of copper [CHEBI:28694] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.01,150,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_28694,CHEBI_27027,,,,,,,,,,,,,Leaf copper content per leaf dry mass [TOP455] (https://top-thesaurus.org/index),,,,Leaf copper (Cu) content per leaf dry mass [TRY:255] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,26
APD/0000028,leaf_Fe_per_dry_mass,Leaf iron (Fe) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of iron [CHEBI:18248] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,1,10000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,ECSO_00000619,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_18248,CHEBI_27027,,,,,,,,,,,,,Leaf iron content per leaf dry mass [TOP456] (https://top-thesaurus.org/index),,,,Leaf iron (Fe) content per leaf dry mass [TRY:256] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,28
APD/0000029,leaf_K_per_area,Leaf potassium (K) content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a leaf [PO:0025034] to leaf area [PATO:0001323].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,numeric,0.1,10,g/m2,g/m2,gram per square metre,live leaf mineral and ion content trait,,,,14/07/2021,,,none,PO_0025034,,,,PATO_0000125,EnvThes:22003,PATO_0001470,,,,,,,,,,,,,,,,,,,CHEBI_26216,CHEBI_33937,,,,,,,,,,,,,Leaf potassium content per leaf area [TOP483] (https://top-thesaurus.org/index),,,,Leaf potassium (K) content per leaf area [TRY:52] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,,29
