sort,term type,term,ontology,identifier,base_code,base_identifier_to_match,term to use in keyword list,url,scheme,prefix,description
527,,recruitment,Cerrado,cerrado:ccon/#Recruitment,ccon/#Recruitment,Recruitment,recruitment [cerrado:ccon/#Recruitment],http://cerrado.linkeddata.es/ecology/ccon/#Recruitment,http://cerrado.linkeddata.es/ecology/,Cerrado,"It's the rate on which new individuals establishes in a certain
community either by new born individuals or immigration.[Cerrado link] ; The process by which new individuals are added to a population, whether by birth and maturation or by immigration. [Wikipedia]"
563,,Plant Mortality,Cerrado,Cerrado:fire#PlantMortality,fire#PlantMortality,PlantMortality,Plant Mortality [Cerrado:fire#PlantMortality],http://cerrado.linkeddata.es/ecology/fire#PlantMortality,http://cerrado.linkeddata.es/ecology/,Cerrado,The death of plants caused by fire.
562,,Plant resprout,Cerrado,Cerrado:fire#PlantResprout,fire#PlantResprout,PlantResprout,Plant resprout [Cerrado:fire#PlantResprout],http://cerrado.linkeddata.es/ecology/fire#PlantResprout,http://cerrado.linkeddata.es/ecology/,Cerrado,"It's when the fire event influence the plant individuals to resprout, that is, the fire can induce the growth of new branches as well the vegetative reproduction of some fire resistant species."
606,ecology,vegetation stratum,CorVeg,CorVeg:8e1b8694-7bc4-4ce7-90c1-69d68e07a3aa,8e1b8694-7bc4-4ce7-90c1-69d68e07a3aa,8e1b8694-7bc4-4ce7-90c1-69d68e07a3aa,vegetation stratum [CorVeg:8e1b8694-7bc4-4ce7-90c1-69d68e07a3aa],http://linked.data.gov.au/def/corveg-cv/8e1b8694-7bc4-4ce7-90c1-69d68e07a3aa,http://linked.data.gov.au/def/corveg-cv/,CorVeg,"There is a maximum of seven layers or strata at any one site. There may be one emergent layer [E] dominated by trees or less commonly shrubs [see below]; There may be up to three tree layers [in addition to an emergent layer]: canopy [T1], subcanopy [T2], low tree layer [T3] but is not always present, particularly in low woodlands. There may be two layers that are dominated by shrubs: tallest shrub layer [S1]. This may also include some low trees. If only one shrub layer is present, then it is S1; lower shrub layer [S2] This may be referred to as a sub-shrub layer, often not recognised apart from shrub dominated vegetation such as heathlands. There is one ground layer [G] although it may be absent. This layer may contain graminoids, forbs, sprawling vines and other plants that are short in stature and overlap in height with the grasses."
636,,calculated,DICOM Controlled Terminology,DCM:125315,125315,DCM:125315,calculated [DCM:125315],http://dicom.nema.org/resources/ontology/DCM/125315,http://dicom.nema.org/resources/ontology/DCM/,DCM,"The measurement is calculated by incorporating one or more measured values into an equation other than a ratio, fractional change or indexed calculation."
839,[using TO:0000283 instead],physiology parameter,Edam - Bioscientific Analysis Ontology,EDAM:3722,data_3722,data_3722,physiology parameter [EDAM:3722],http://edamontology.org/data_3722,http://edamontology.org/,EDAM,"Experimentally determined parameter of the physiology of an organism, e.g. substrate spectrum."
840,[using TO:0000017 instead],morphology parameter,Edam - Bioscientific Analysis Ontology,EDAM:3723,data_3723,data_3723,morphology parameter [EDAM:3723],http://edamontology.org/data_3723,http://edamontology.org/,EDAM,"Experimentally determined parameter of the morphology of an organism, e.g. size & shape."
357,other key words,molecular genetics,Edam - Bioscientific Analysis Ontology,EDAM:3321,data_3321,data_3321,molecular genetics [EDAM:3321],http://edamontology.org/topic_3321,http://edamontology.org/,EDAM,The structure and function of genes at a molecular level.
587,,duration,Experimental Factor Ontology,EFO:0000433,433,EFO:0000433,duration [EFO:0000433],http://www.ebi.ac.uk/efo/EFO_0000433,http://www.ebi.ac.uk/efo/,EFO,A temporal measurement of the time between two specified points.
593,,individual,Experimental Factor Ontology,EFO:0000542,542,EFO:0000542,individual [EFO:0000542],http://www.ebi.ac.uk/efo/EFO_0000542,http://www.ebi.ac.uk/efo/,EFO,"An individual used as a specimen in an experiment, from which a material sample was derived."
504,,treatment,Experimental Factor Ontology,EFO:0000727,727,EFO:0000727,treatment [EFO:0000727],http://www.ebi.ac.uk/efo/EFO_0000727,http://www.ebi.ac.uk/efo/,EFO,A planned process intended to modify or alter a condition or characteristic of an organism or individual.
627,,storage organ,Experimental Factor Ontology,EFO:0000997,997,EFO:0000997,storage organ [EFO:0000997],http://www.ebi.ac.uk/efo/EFO_0000997,http://www.ebi.ac.uk/efo/,EFO,[no definition]
698,,substrate,Experimental Factor Ontology,EFO:0005061,5061,EFO:0005061,substrate [EFO:0005061],http://www.ebi.ac.uk/efo/EFO_0005061,http://www.ebi.ac.uk/efo/,EFO,"A substrate is the surface on which material, such as an organism, is grown or attached."
699,,epiphyte,Environmental Thesaurus,EnvThes:10107,10107,EnvThes:10107,epiphyte [EnvThes:10107],http://vocabs.lter-europe.net/EnvThes/10107,http://vocabs.lter-europe.net/EnvThes/,EnvThes,[no definition]
628,,vegetation reflectance,Environmental Thesaurus,EnvThes:10118,10118,EnvThes:10118,vegetation reflectance [EnvThes:10118],http://vocabs.lter-europe.net/EnvThes/10118,http://vocabs.lter-europe.net/EnvThes/,EnvThes,[no definition]
707,morphology-whole plant,dry matter biomass,Environmental Thesaurus,EnvThes:10380,10380,EnvThes:10380,dry matter biomass [EnvThes:10380],http://vocabs.lter-europe.net/EnvThes/10380,http://vocabs.lter-europe.net/EnvThes/,EnvThes,[no definition]
831,chemical entity,stable isotope,Environmental Thesaurus,EnvThes:20310,20310,EnvThes:20310,stable isotope [EnvThes:20310],http://vocabs.lter-europe.net/EnvThes/20310,http://vocabs.lter-europe.net/EnvThes/,EnvThes,"Some isotopes are radioactive, and are therefore described as radioisotopes or radionuclides, while others have never been observed to undergo radioactive decay and are described as stable isotopes or stable nuclides. For example, 14C is a radioactive form of carbon while 12C and 13C are stable isotopes. Elements are composed of one or more naturally occurring isotopes. All the known stable isotopes occur naturally on Earth. Isotope analysis is the determination of isotopic signature, the relative abundances of isotopes of a given element in a particular sample. For biogenic substances in particular, significant variations of isotopes of C, N and O can occur."
624,,disturbance (event),Environmental Thesaurus,EnvThes:20373,20373,EnvThes:20373,disturbance (event) [EnvThes:20373],http://vocabs.lter-europe.net/EnvThes/20373,http://vocabs.lter-europe.net/EnvThes/,EnvThes,External event affecting the ecosystem
607,,seedling establishment,Environmental Thesaurus,EnvThes:20410,20410,EnvThes:20410,seedling establishment [EnvThes:20410],http://vocabs.lter-europe.net/EnvThes/20410,http://vocabs.lter-europe.net/EnvThes/,EnvThes,[no definition]
629,,vegetation,Environmental Thesaurus,EnvThes:20535,20535,EnvThes:20535,vegetation [EnvThes:20535],http://vocabs.lter-europe.net/EnvThes/20535,http://vocabs.lter-europe.net/EnvThes/,EnvThes,"[Henderson's] n. the plant cover of an area, con­sidered generally, and not taxonomically."
735,morphology - root,fine root,Environmental Thesaurus,EnvThes:20581,20581,EnvThes:20581,fine root [EnvThes:20581],http://vocabs.lter-europe.net/EnvThes/20581,http://vocabs.lter-europe.net/EnvThes/,EnvThes,"Primary roots usually less than 2 mm diameter that have the function of water and nutrient uptake. They are often heavily branched and support mycorrhizas. These roots may be short lived, but are replaced by the plant in an ongoing process of root 'turnover'"
510,,mycorrhizae,Environmental Thesaurus,EnvThes:20656,20656,EnvThes:20656,mycorrhizae [EnvThes:20656],http://vocabs.lter-europe.net/EnvThes/20656,http://vocabs.lter-europe.net/EnvThes/,EnvThes,"[Henderson's] mycorrhiza n. symbiotic association between plant roots and certain fungi, in which a sheath of fungal tissue (the mantle) encloses the smallest rootlets. There are two main types. In ectomycorrhizas the fungal hyphae penetrate between the cells of the epidermis and cortex. In endomy­corrhizas they penetrate the plant cells themselves and an external fungal sheath is often lacking. Mycorrhizas are essential for optimum growth and development in many trees, shrubs and herbaceous plants."
91,,woody plants,Environmental Thesaurus,EnvThes:20744,20744,EnvThes:20744,woody plants [EnvThes:20744],http://vocabs.lter-europe.net/EnvThes/20744,http://vocabs.lter-europe.net/EnvThes/,EnvThes,[no definition]
