identifier,label,description,trait_name
bark_morphology_eucalyptus_eucalypt_box,eucalypt_box,"Eucalyptus, Corymbia or Angophora taxa with ""Box"" type bark.",bark_morphology_eucalyptus
bark_morphology_eucalyptus_eucalypt_gum,eucalypt_gum,"Eucalyptus, Corymbia or Angophora taxa with ""Gum"" type bark.",bark_morphology_eucalyptus
bark_morphology_eucalyptus_eucalypt_stocking,eucalypt_stocking,"Eucalyptus, Corymbia or Angophora taxa with ""Gum"" type bark above a rough barked stocking.",bark_morphology_eucalyptus
bark_morphology_eucalyptus_eucalypt_ironbark,eucalypt_ironbark,"Eucalyptus, Corymbia or Angophora taxa with ""Ironbark"" type bark.",bark_morphology_eucalyptus
bark_morphology_eucalyptus_eucalypt_peppermint,eucalypt_peppermint,"Eucalyptus, Corymbia or Angophora taxa with ""Peppermint"" type bark.",bark_morphology_eucalyptus
bark_morphology_eucalyptus_eucalypt_stringybark,eucalypt_stringybark,"Eucalyptus, Corymbia or Angophora taxa with ""Stringy"" type bark.",bark_morphology_eucalyptus
bark_morphology_eucalyptus_eucalypt_ribbonbark,eucalypt_ribbonbark,"Eucalyptus, Corymbia or Angophora taxa with ""Gum"" type bark that sheds in ribbons.",bark_morphology_eucalyptus
plant_tolerance_calcicole_calcicole,calcicole,"Plants are tolerant of basic soils, such as calcareous sands and limestone derived soils.",plant_tolerance_calcicole
plant_tolerance_calcicole_calcifuge,calcifuge,"Plants are intolerant of basic soils (Synonyms, acidophilous).",plant_tolerance_calcicole
competitive_stratum_ground,ground,"Graminoids, herbs and ferns reaching maximum heights of c. 0.2-1 m.",competitive_stratum
competitive_stratum_mid,mid,Shrubs reaching maximum heights of c. 1-2 m.,competitive_stratum
competitive_stratum_upper,upper,Tall shrubs reaching maximum heights of c. 3-5 m.,competitive_stratum
competitive_stratum_post_fire_ephemeral,post_fire_ephemeral,Taxa that avoid competition with other strata by rapidly completing their life cycle after fire; a sub-category of 'ground'.,competitive_stratum
cotyledon_function_foliaceous,foliaceous,Cotyledons are photosynthetic and function as leaves.,cotyledon_function
