traitID,trait,label,description_encoded,description,comments,inScheme,type,min,max,units,units_UCUM,units_uom,category,category2,category3,category4,created,modified,deprecated_trait_name,constraints,plant_structure_1,plant_structure_2,plant_structure_3,plant_structure_4,measurement_char_1,measurement_char_2,measurement_char_3,measurement_char_4,measurement_char_5,reviewers,reviewer01,reviewer02,reviewer03,reviewer04,reviewer05,reviewer06,reviewer07,reviewer08,reviewer09,reviewer10,references,ref1,ref2,ref3,ref4,ref5,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,keyword_11,keyword_12,keyword_13,keyword_14,keyword_15,keyword_16,keyword_17,keyword_18,keyword_19,keyword_20,exact_TOP_verbal,close_TOP_verbal,related_TOP,related_TOP2,exact_other1,close_other1,close_other2,related_other,exact_TRY,close_TRY,related_TRY,exact_LEDA,close_LEDA,related_LEDA,exact_GIFT,close_GIFT,related_GIFT,traitID_code,type_x,trait_category_encoded_x,plant_structure_x,keywords_x,measured_characteristic_x,exact_TOP_verb_x,exact_other1_x,close_TOP_verbal_x,close_other1_verbal_x,close_other2_verbal_x,traitID_x
0000012,leaf_Al_per_dry_mass,Leaf aluminium (Al) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of aluminium [CHEBI:28984] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,0.01,12000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_28984,PO_0020049,PO_0020039,TO_0001014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP449,NA,NA,NA,NA,NA,NA,NA,Leaf aluminium (Al) content per leaf dry mass [TRY:249] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000012,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],aluminium atom [CHEBI:28984],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf aluminium content per leaf dry mass [TOP:449],,,,,0000012
0000014,leaf_B_per_dry_mass,Leaf boron (B) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of boron [CHEBI:27560] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,0.01,1000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_27560,PO_0020049,PO_0020039,TO_0001014,CHEBI_27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP450,NA,NA,NA,NA,NA,NA,NA,Leaf boron (B) content per leaf dry mass [TRY:250] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000014,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],boron atom [CHEBI:27560]; micronutrient [CHEBI:27027],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf boron content per leaf dry mass [TOP:450],,,,,0000014
0000016,leaf_C_per_dry_mass,Leaf carbon (C) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,50,750,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_27594,PO_0020049,PO_0020039,TO_0001014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP452,NA,NA,NA,NA,NA,NA,NA,Leaf carbon (C) content per leaf dry mass [TRY:13] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000016,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],carbon atom [CHEBI:27594],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf carbon content per leaf dry mass [TOP:452],,,,,0000016
0000018,leaf_Ca_per_dry_mass,Leaf calcium (Ca) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,0.01,1000,mg/g,mg/g,milligram per gram,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_22984,PO_0020049,PO_0020039,TO_0001014,CHEBI_27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP451,NA,NA,NA,NA,NA,NA,NA,Leaf calcium (Ca) content per leaf dry mass [TRY:252] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000018,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],calcium atom [CHEBI:22984]; micronutrient [CHEBI:27027],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf calcium content per leaf dry mass [TOP:451],,,,,0000018
0000020,leaf_Cl_per_dry_mass,Leaf chlorine (Cl) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of chlorine [CHEBI:23116] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,10,10000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_23116,PO_0020049,PO_0020039,TO_0001014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP453,NA,NA,NA,NA,NA,NA,NA,Leaf chlorine (Cl) content per leaf dry mass [TRY:539] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000020,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],chlorine atom [CHEBI:23116],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf chlorine content per leaf dry mass [TOP:453],,,,,0000020
0000022,leaf_Cr_per_dry_mass,Leaf chromium (Cr) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of chromium [CHEBI:28073] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,0.01,150,ppm,ppm,parts per million,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_28073,PO_0020049,PO_0020039,TO_0001014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leaf chromium (Cr) content per leaf dry mass [TRY:254] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000022,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],chromium atom [CHEBI:28073],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]",,,,,,0000022
0000024,leaf_Co_per_dry_mass,Leaf cobalt (Co) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of cobalt [CHEBI:27638] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,0.01,150,ppm,ppm,parts per million,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_27638,PO_0020049,PO_0020039,TO_0001014,CHEBI_27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP454,NA,NA,NA,NA,NA,NA,NA,Leaf cobalt (Co) content per leaf dry mass [TRY:253] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000024,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],cobalt atom [CHEBI:27638]; micronutrient [CHEBI:27027],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf cobalt content per leaf dry mass [TOP:454],,,,,0000024
0000026,leaf_Cu_per_dry_mass,Leaf copper (Cu) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of copper [CHEBI:28694] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,0.01,150,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_28694,PO_0020049,PO_0020039,TO_0001014,CHEBI_27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP455,NA,NA,NA,NA,NA,NA,NA,Leaf copper (Cu) content per leaf dry mass [TRY:255] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000026,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],copper atom [CHEBI:28694]; micronutrient [CHEBI:27027],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf copper content per leaf dry mass [TOP:455],,,,,0000026
0000028,leaf_Fe_per_dry_mass,Leaf iron (Fe) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of iron [CHEBI:18248] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf dry mass [TO:0001014].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,1,10000,mg/kg,mg/kg,milligram per kilogram,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,ECSO_00000619,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_18248,PO_0020049,PO_0020039,TO_0001014,CHEBI_27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP456,NA,NA,NA,NA,NA,NA,NA,Leaf iron (Fe) content per leaf dry mass [TRY:256] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000028,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],iron atom [CHEBI:18248]; micronutrient [CHEBI:27027],"mass [PATO:0000125]; mass fraction [ECSO:00000619]; ratio, proportion [PATO:0001470]", leaf iron content per leaf dry mass [TOP:456],,,,,0000028
0000029,leaf_K_per_area,Leaf potassium (K) content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a leaf [PO:0025034] (or leaflet [PO:0020049] or leaf lamina [PO:0020039]) to leaf area [TO:0000540].,,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://github.com/traitecoevo/APD,STATO_0000251,0.1,10,g/m2,g/m2,gram per square metre,live leaf mineral and ion content trait,,,,2021-07-14,,,none,PO_0025034,NA,NA,NA,PATO_0000125,22003,PATO_0001470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,CHEBI_26216,PO_0020049,PO_0020039,TO_0000540,CHEBI_33937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP483,NA,NA,NA,NA,NA,NA,NA,Leaf potassium (K) content per leaf area [TRY:52] (https://www.try-db.org/de/de.php),,,,,,,,,APD#0000029,numeric,biochemical trait [TO:0000277]; mineral and ion content trait [TO:0000465]; leaf mineral and ion content trait [AusTraits]; live leaf mineral and ion content trait [AusTraits],leaf [PO:0025034],potassium atom [CHEBI:26216]; macronutrient [CHEBI:33937],"mass [PATO:0000125]; per unit area [EnvThes:22003]; ratio, proportion [PATO:0001470]", leaf potassium content per leaf area [TOP:483],,,,,0000029
