Entity,label,description,identifier,prefix,vocabulary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40004,accessory cost,"Biomass investment [OMIT:0008566] in reproductive tissues [CARO:0000043] other than the seeds [PO:0009010]. These tissues include prepollination (flower, nectar, and pollen) and postpollination (packaging, protective and dispersal [EnvThes:21038] tissues) as well as aborted floral parts.",glossary_40004,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40006,ambient photosynthetic rate,Photosynthetic rate [TO:0001015] in a plant whose photosystem [GO:0009521] I and II reaction centers [GO:0009538; GO:0009539] are exposed to ambient [NCIT:C62306] photosynthetically active radiation [ENVO:01001864] levels and ambient atmospheric carbon dioxide [ENVO:01000451] concentrations [PATO:0000033] while the measurement is made.,glossary_40006,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40014,bark water content,A bark mass trait [APD:xxxxxxx] which is the mass [PATO:0000125] of water [CHEBI:15377] in a section of bark [PO:0004518].,glossary_40014,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40026,coarse root,A root greater than 2 mm in diameter. The alternative to fine roots [EnvThes:20581].,glossary_40026,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40040,ignition,The act of causing something to start burning [Merriam-Webster Dictionary],glossary_40040,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40044,fresh mass,The mass [PATO:0000125] of tissue [CARO_0000043] before it is dried; the mass of the tissue when it is fresh [EnvThes:21976].,glossary_40044,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40050,leaf water content,A leaf mass trait [TO:0000505] which is the total mass [PATO:0000125] of water [CHEBI:15377] in a leaf [PO:0025034].,glossary_40050,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40058,"maximum photosynthetic rate, Amax",Photosynthetic rate [TO:0001015] in a plant whose photosystem [GO:0009521] I and II reaction centers [GO:0009538; GO:0009539] are saturated [NCIT_C61427] by photosynthetically active radiation [ENVO:01001864] and which is exposed to saturating atmospheric carbon dioxide [ENVO:01000451] concentrations [PATO:0000033] while the measurement is made..,glossary_40058,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40060,merism,"The repetition of similar parts, units, or segments within the structure of an organism. [www.lexico.com]",glossary_40060,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40062,non-structural carbohydrates,"Carbohydrates [CHEBI:16646], including starches [CHEBI:28017] and sugars [APD:xxxxxxx], that are relatively easy to metabolise [NCIT:C19536] by both plants and animals.",glossary_40062,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40066,pendulous,Hanging downward loosely or freely. [Simpson],glossary_40066,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40068,per unit mass,"A ratio [PATO:0001470], where the denominator [NCIT:C80489] is a measure of mass [PATO:0000125].",glossary_40068,APD_glossary,APD_glossary
https://github.com/traitecoevo/APD/APD_glossary/glossary_40074,placentation,Referring to the position [PATO:0000140] of the ovules [PO:0020003] within the ovary [PO:0009072]. [Plant Systematics],glossary_40074,APD_glossary,APD_glossary
